Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,1242029,12/05/2024 09:30,12/05/2024 17:48,AUDCAD,Sell,0.030,0.90387,0.90168,0.90618,0.90305,0.0000,0.0000,31.3,5.24,0.20,"to #1252669",100,00:08:18:10,100.0,8h 18m,0.0,0.03,31.3,5.321000000000001,0.0,0.0,100.0,100.0,0.00,0.00
,1228086,12/05/2024 09:30,12/05/2024 15:27,AUDCAD,Sell,0.020,0.90556,0.90168,0.90618,0.90423,0.0000,0.0000,19.5,2.18,0.08,"to #1242029",100,00:05:57:30,100.0,5h 57m,0.8,0.05,20.3,2.233,0.0,0.0,100.0,96.1,-0.80,-0.09
,1114620,12/03/2024 10:30,12/04/2024 13:27,USDCHF,Buy,0.040,0.88637,0.89085,0.88613,0.88637,0.0000,0.2000,2.4,1.05,0.04,"{6374761}                      ",100,01:02:56:38,51.9,13h 59m,27.8,2.44,11.4,3.9899999999999998,-27.8,-9.73,29.1,77.0,-9.00,-3.15
,1074490,12/02/2024 13:00,12/03/2024 10:44,AUDCAD,Buy,0.050,0.00000,0.91112,0.91158,0.91112,0.0000,-0.0100,-4.6,-1.31,-0.05,"{6329238}                      ",100,00:21:44:34,0.0,0s,38.8,38.91,0.0,0.0,-38.8,-10.864,0.0,88.1,-4.60,-1.29
,1050942,12/02/2024 03:00,12/03/2024 09:58,NZDUSD,Buy,0.050,0.00000,0.58884,0.59019,0.58873,0.0000,-0.0500,-14.6,-5.82,-0.23,"{6311605}                      ",100,01:06:58:05,13.4,4h 8m,38.6,6.57,5.1,2.04,-33.5,-13.4,13.2,49.0,-19.70,-7.88
,1103729,12/03/2024 04:30,12/03/2024 09:58,NZDUSD,Buy,0.070,0.58728,0.58884,0.58663,0.58873,0.0000,0.0000,21.0,11.61,0.45,"{6365871}                      ",100,00:05:28:42,100.0,5h 28m,0.0,0.05,21.0,11.55,0.0,0.0,100.0,100.0,0.00,0.00
,1088545,12/02/2024 17:00,12/03/2024 02:30,AUDCAD,Buy,0.050,0.90862,0.91029,0.90802,0.90862,0.0000,-0.0100,6.0,1.68,0.07,"{6345261}                  [sl]",100,00:09:30:20,100.0,9h 30m,8.7,0.07,14.7,4.1160000000000005,0.0,0.0,100.0,40.8,-8.70,-2.44
,1089970,12/02/2024 17:22,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,700.00,0,"PAMM/Deposit by MT4 #4003388 PA",0,00:00:00:00,,,,,,,,,,,,
,1029843,11/29/2024 11:45,11/29/2024 19:43,AUDUSD,Buy,0.050,0.00000,0.65478,0.65055,0.65150,0.0000,0.0000,9.5,3.73,0.20,"{6258598}                      ",100,00:07:58:41,,,,,,,,,,,,
,985918,11/28/2024 02:15,11/29/2024 03:43,USDCHF,Sell,0.030,0.88182,0.87152,0.88274,0.88132,0.0000,-0.3500,14.2,3.46,0.19,"{6228469}                      ",100,01:01:28:54,50.0,12h 44m,14.7,0.97,15.1,4.077,-14.7,-3.969,50.7,97.0,-0.90,-0.24
,946716,11/26/2024 18:45,11/26/2024 20:46,USDCAD,Buy,0.030,1.40757,1.41504,1.40704,1.40754,0.0000,0.0000,5.0,0.85,0.05,"{6185916}                  [sl]",100,00:02:01:41,,,,,,,,,,,,
,918413,11/25/2024 21:15,11/26/2024 01:44,USDCHF,Buy,0.030,0.88600,0.88760,0.88530,0.88760,0.0000,0.1500,23.0,6.35,0.34,"{6151257}                  [tp]",100,00:04:29:34,,,,,,,,,,,,
,900935,11/25/2024 12:01,11/26/2024 01:44,USDCHF,Buy,0.030,0.00000,0.88760,0.88905,0.88760,0.0000,0.1500,-14.5,-3.76,-0.20,"{6131464}                  [tp]",100,00:13:42:54,,,,,,,,,,,,
,860309,11/22/2024 11:45,11/22/2024 20:23,AUDNZD,Buy,0.040,1.11356,1.11697,1.11251,1.11466,0.0000,0.0000,21.5,4.01,0.22,"{6081095}                      ",100,00:08:38:02,,,,,,,,,,,,
,858703,11/22/2024 09:45,11/22/2024 11:14,USDCHF,Buy,0.020,0.88822,0.89056,0.88605,0.89055,0.0000,0.0000,45.0,8.08,0.44,"from #855648[tp]",100,00:01:29:35,,,,,,,,,,,,
,855648,11/22/2024 09:45,11/22/2024 11:12,USDCHF,Buy,0.010,0.88763,0.89056,0.88605,0.88874,0.0000,0.0000,26.9,2.42,0.13,"to #858703",100,00:01:27:13,,,,,,,,,,,,
,835827,11/21/2024 11:45,11/21/2024 13:50,USDCAD,Sell,0.030,1.39690,1.39269,1.39769,1.39689,0.0000,0.0000,8.0,1.36,0.07,"{6050496}                  [sl]",100,00:02:05:08,,,,,,,,,,,,
,824930,11/20/2024 18:30,11/21/2024 00:01,AUDNZD,Buy,0.040,1.10613,1.11020,1.10570,1.10578,0.0000,-0.1800,0.8,-0.03,0.00,"{5650803}                      ",100,00:05:30:28,,,,,,,,,,,,
,783948,11/18/2024 21:00,11/20/2024 12:43,USDCHF,Buy,0.030,0.00000,0.88585,0.88359,0.88585,0.0000,0.3000,22.6,6.34,0.35,"{5578833}                  [tp]",100,01:15:43:54,40.0,15h 53m,19.5,0.71,22.6,6.102000000000001,-16.0,-4.32,58.5,100.0,0.00,0.00
,784396,11/18/2024 21:45,11/19/2024 09:45,AUDNZD,Buy,0.050,1.10456,1.10804,1.10434,1.10455,0.0000,-0.0700,2.1,0.42,0.02,"{5581046}                      ",100,00:12:00:05,,,,,,,,,,,,
,518531,11/01/2024 00:29,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-2500.00,0,"PAMM/WD by MT4 #4001695 PAMM #6",0,00:00:00:00,,,,,,,,,,,,
,509392,10/31/2024 12:45,10/31/2024 16:47,USDCAD,Sell,0.040,1.39018,0.00000,1.39177,1.39018,0.0000,0.0000,15.9,3.52,0.08,"from #503463[sl]",100,00:04:02:15,,,,,,,,,,,,
,503463,10/31/2024 12:45,10/31/2024 16:25,USDCAD,Sell,0.030,1.39074,0.00000,1.39177,1.38993,0.0000,0.0000,18.4,3.06,0.07,"to #509392",100,00:03:40:12,,,,,,,,,,,,
,496799,10/30/2024 11:30,10/31/2024 00:01,AUDCAD,Sell,0.070,0.91432,0.91174,0.91454,0.91444,0.0000,-0.4700,1.0,-0.08,0.00,"from #481721[sl]",100,00:12:31:07,,,,,,,,,,,,
,481721,10/30/2024 11:30,10/30/2024 23:33,AUDCAD,Sell,0.040,0.91432,0.91174,0.91454,0.91361,0.0000,0.0000,9.3,2.06,0.05,"to #496799",100,00:12:03:51,,,,,,,,,,,,
,481462,10/30/2024 11:15,10/30/2024 15:00,NZDUSD,Sell,0.120,0.00000,0.59821,0.59907,0.59858,0.0000,0.0000,4.9,4.53,0.10,"{4826718}                      ",100,00:03:45:19,,,,,,,,,,,,
,469408,10/29/2024 18:15,10/29/2024 19:12,USDCAD,Sell,0.070,1.39155,1.39005,1.39091,1.39085,0.0000,0.0000,0.6,0.23,0.01,"{4807356}                      ",100,00:00:57:28,,,,,,,,,,,,
,452551,10/29/2024 03:30,10/29/2024 06:37,NZDCAD,Sell,0.060,0.00000,0.82967,0.83059,0.82970,0.0000,0.0000,8.9,2.96,0.07,"{4778324}                  [tp]",100,00:03:07:24,,,,,,,,,,,,
,446327,10/28/2024 17:00,10/28/2024 18:43,NZDUSD,Sell,0.120,0.59935,0.00000,0.59947,0.59843,0.0000,0.0000,10.4,9.60,0.22,"{4769830}                      ",100,00:01:43:26,,,,,,,,,,,,
,440016,10/28/2024 09:00,10/28/2024 12:40,GBPCAD,Sell,0.020,0.00000,1.79694,1.79950,1.80244,0.0000,0.0000,-29.4,-3.26,-0.08,"from #436457",100,00:03:40:23,,,,,,,,,,,,
